	
AGE vs Completion Percentage Statistics:	
Value Range	Count	Avg Completion	Min	Max	Q1	Median	Q3
--------------------------------------------------------------------------------	
0.0-10.0	507464	38.4%	12%	100%	12%	36%	62%
10.0-20.0	358278	43.7%	12%	100%	12%	50%	67%
20.0-30.0	501164	40.6%	12%	100%	12%	45%	64%
30.0-40.0	184500	35.8%	12%	98%	12%	33%	59%
40.0-50.0	60035	35.5%	12%	97%	12%	33%	59%
50.0-60.0	15938	35.0%	12%	93%	12%	29%	59%
60.0-70.0	2616	32.3%	12%	86%	12%	16%	57%
70.0-80.0	380	30.0%	12%	86%	12%	12%	55%
80.0-90.0	252	30.3%	12%	86%	12%	14%	59%
90.0-100.0	419	29.6%	12%	98%	12%	14%	52%
100.0-110.0	131	28.3%	12%	84%	12%	14%	41%
	
HEIGHT vs Completion Percentage Statistics:	
Value Range	Count	Avg Completion	Min	Max	Q1	Median	Q3
--------------------------------------------------------------------------------	
-9.223372036854776e+18--9.223372036854776e+18	1	71.0%	71%	71%	71%	71%	71%
-1479855445565750.0--1479855445565745.0	1	69.0%	69%	69%	69%	69%	69%
-1000000000000.0--999999999995.0	1	78.0%	78%	78%	78%	78%	78%
-123456790.0--123456785.0	1	72.0%	72%	72%	72%	72%	72%
-10000000.0--9999995.0	1	53.0%	53%	53%	53%	53%	53%
-1760.0--1755.0	1	81.0%	81%	81%	81%	81%	81%
-1000.0--995.0	1	67.0%	67%	67%	67%	67%	67%
-550.0--545.0	1	52.0%	52%	52%	52%	52%	52%
-525.0--520.0	1	67.0%	67%	67%	67%	67%	67%
-460.0--455.0	1	34.0%	34%	34%	34%	34%	34%
-210.0--205.0	1	45.0%	45%	45%	45%	45%	45%
-200.0--195.0	1	71.0%	71%	71%	71%	71%	71%
-190.0--185.0	1	62.0%	62%	62%	62%	62%	62%
-185.0--180.0	5	53.4%	41%	83%	41%	50%	52%
-180.0--175.0	4	69.8%	66%	72%	69%	72%	72%
-175.0--170.0	2	59.5%	47%	72%	47%	72%	72%
-170.0--165.0	4	73.5%	66%	88%	69%	71%	88%
-165.0--160.0	3	61.7%	52%	78%	52%	55%	78%
-160.0--155.0	5	61.2%	36%	88%	53%	62%	67%
-155.0--150.0	1	84.0%	84%	84%	84%	84%	84%
-150.0--145.0	2	63.5%	55%	72%	55%	72%	72%
-145.0--140.0	1	88.0%	88%	88%	88%	88%	88%
-125.0--120.0	1	71.0%	71%	71%	71%	71%	71%
